Time,PlayerID,GSF,StrategyMode,MySoldiers,EnemySoldiers
0.02,1,-1000.00,Defensive,0,0.00
0.04,1,-1000.00,Defensive,0,0.00
0.07,1,-1000.00,Defensive,0,0.00
0.13,1,-1000.00,Defensive,0,0.00
0.19,1,-1000.00,Defensive,0,0.00
0.25,1,-1000.00,Defensive,0,0.00
0.30,1,-1000.00,Defensive,0,0.00
0.35,1,-1000.00,Defensive,0,0.00
0.41,1,-1000.00,Defensive,0,0.00
0.48,1,-1000.00,Defensive,0,0.00
0.54,1,-1000.00,Defensive,0,0.00
0.59,1,-1000.00,Defensive,0,0.00
0.65,1,-1000.00,Defensive,0,0.00
0.70,1,-1000.00,Defensive,0,0.00
0.76,1,-1000.00,Defensive,0,0.00
0.82,1,-1000.00,Defensive,0,0.00
0.88,1,-1000.00,Defensive,0,0.00
0.93,1,-1000.00,Defensive,0,0.00
1.00,1,-1000.00,Defensive,0,0.00
1.06,1,-1000.00,Defensive,0,0.00
1.11,1,-1000.00,Defensive,0,0.00
1.17,1,-1000.00,Defensive,0,0.00
1.22,1,-1000.00,Defensive,0,0.00
1.28,1,-1000.00,Defensive,0,0.00
1.34,1,-1000.00,Defensive,0,0.00
1.39,1,-1000.00,Defensive,0,0.00
1.45,1,-1000.00,Defensive,0,0.00
1.52,1,0.00,Economic,0,0.00
1.58,1,0.00,Economic,0,0.00
1.64,1,0.00,Economic,0,0.00
1.70,1,0.00,Economic,0,0.00
1.76,1,0.00,Economic,0,0.00
1.82,1,0.00,Economic,0,0.00
1.89,1,0.00,Economic,0,0.00
1.96,1,0.00,Economic,0,0.00
2.02,1,0.00,Economic,0,0.00
2.07,1,0.00,Economic,0,0.00
2.14,1,0.00,Economic,0,0.00
2.20,1,0.00,Economic,0,0.00
2.26,1,0.00,Economic,0,0.00
2.30,1,0.00,Economic,0,0.00
2.35,1,0.00,Economic,0,0.00
2.41,1,0.00,Economic,0,0.00
2.48,1,0.00,Economic,0,0.00
2.53,1,0.00,Economic,0,0.00
2.59,1,0.00,Economic,0,0.00
2.66,1,0.00,Economic,0,0.00
2.72,1,0.00,Economic,0,0.00
2.78,1,0.00,Economic,0,0.00
2.83,1,0.31,Economic,0,0.00
2.88,1,0.81,Economic,0,0.00
2.93,1,1.32,Economic,0,0.00
2.98,1,1.84,Economic,0,0.00
3.04,1,2.34,Economic,0,0.00
3.10,1,2.86,Economic,0,0.00
3.16,1,3.39,Economic,0,0.00
3.23,1,3.91,Economic,0,0.00
3.29,1,4.44,Economic,0,0.00
3.35,1,4.94,Economic,0,0.00
3.41,1,5.46,Economic,0,0.00
3.46,1,6.00,Economic,0,0.00
3.52,1,6.50,Economic,0,0.00
3.59,1,7.02,Economic,0,0.00
3.65,1,7.54,Economic,0,0.00
3.71,1,8.07,Economic,0,0.00
3.77,1,8.59,Economic,0,0.00
3.83,1,9.10,Economic,0,0.00
3.89,1,9.61,Economic,0,0.00
3.94,1,10.15,Economic,0,0.00
4.00,1,10.70,Economic,0,0.00
4.05,1,11.24,Economic,0,0.00
4.11,1,11.75,Economic,0,0.00
4.17,1,2.26,Economic,0,1.00
4.23,1,2.77,Economic,0,1.00
4.29,1,3.30,Economic,0,1.00
4.34,1,-6.20,Defensive,0,2.00
4.40,1,-5.64,Defensive,0,2.00
4.46,1,-5.11,Defensive,0,2.00
4.51,1,-14.57,Defensive,0,3.00
4.56,1,-14.06,Defensive,0,3.00
4.62,1,-13.53,Defensive,0,3.00
4.68,1,-23.00,Defensive,0,4.00
4.74,1,-22.48,Defensive,0,4.00
4.79,1,-21.98,Defensive,0,4.00
4.84,1,-31.46,Defensive,0,5.00
4.88,1,-30.96,Defensive,0,5.00
4.93,1,-30.40,Defensive,0,5.00
4.97,1,-39.90,Defensive,0,6.00
5.01,1,-65.00,Defensive,0,6.50
5.05,1,-25.00,Defensive,0,7.50
5.09,1,55.00,Aggressive,0,9.50
5.13,1,55.00,Aggressive,0,9.50
5.18,1,20.00,Economic,0,13.00
5.22,1,-10.00,Defensive,0,16.00
5.26,1,-25.00,Defensive,0,17.50
5.30,1,-40.00,Defensive,0,19.00
5.34,1,-56.00,Defensive,0,20.50
5.38,1,-57.00,Defensive,0,20.50
5.41,1,-71.00,Defensive,0,21.50
5.44,1,-59.00,Defensive,0,20.00
5.48,1,-68.00,Defensive,0,20.50
5.51,1,-82.00,Defensive,0,21.50
5.55,1,-61.00,Defensive,0,19.00
5.59,1,60.00,Aggressive,0,16.50
0.01,1,-1000.00,Defensive,0,0.00
0.01,1,-1000.00,Defensive,0,0.00
0.04,1,-1000.00,Defensive,0,0.00
0.10,1,-1000.00,Defensive,0,0.00
0.16,1,-1000.00,Defensive,0,0.00
0.22,1,-1000.00,Defensive,0,0.00
0.28,1,-1000.00,Defensive,0,0.00
0.35,1,-1000.00,Defensive,0,0.00
0.40,1,-1000.00,Defensive,0,0.00
0.46,1,-1000.00,Defensive,0,0.00
0.51,1,-1000.00,Defensive,0,0.00
0.57,1,-1000.00,Defensive,0,0.00
0.63,1,-1000.00,Defensive,0,0.00
0.69,1,-1000.00,Defensive,0,0.00
0.75,1,-1000.00,Defensive,0,0.00
0.81,1,-1000.00,Defensive,0,0.00
0.87,1,-1000.00,Defensive,0,0.00
0.92,1,-1000.00,Defensive,0,0.00
0.98,1,-1000.00,Defensive,0,0.00
1.05,1,-1000.00,Defensive,0,0.00
1.10,1,-1000.00,Defensive,0,0.00
1.16,1,-1000.00,Defensive,0,0.00
1.23,1,-1000.00,Defensive,0,0.00
1.29,1,-1000.00,Defensive,0,0.00
1.35,1,-1000.00,Defensive,0,0.00
1.42,1,-1000.00,Defensive,0,0.00
1.47,1,-1000.00,Defensive,0,0.00
1.54,1,0.00,Economic,0,0.00
1.60,1,0.00,Economic,0,0.00
1.65,1,0.00,Economic,0,0.00
1.70,1,0.00,Economic,0,0.00
1.77,1,0.00,Economic,0,0.00
1.83,1,0.00,Economic,0,0.00
1.90,1,0.00,Economic,0,0.00
1.96,1,0.00,Economic,0,0.00
2.02,1,0.00,Economic,0,0.00
2.08,1,0.00,Economic,0,0.00
2.14,1,0.00,Economic,0,0.00
2.21,1,0.00,Economic,0,0.00
2.26,1,0.00,Economic,0,0.00
2.32,1,0.00,Economic,0,0.00
2.38,1,0.00,Economic,0,0.00
2.44,1,0.00,Economic,0,0.00
2.51,1,0.00,Economic,0,0.00
2.58,1,0.00,Economic,0,0.00
2.65,1,0.00,Economic,0,0.00
2.70,1,0.00,Economic,0,0.00
2.76,1,0.00,Economic,0,0.00
2.82,1,0.00,Economic,0,0.00
2.87,1,0.00,Economic,0,0.00
2.94,1,0.00,Economic,0,0.00
3.00,1,0.00,Economic,0,0.00
3.06,1,0.00,Economic,0,0.00
3.13,1,0.00,Economic,0,0.00
3.19,1,0.00,Economic,0,0.00
3.25,1,0.00,Economic,0,0.00
3.31,1,0.00,Economic,0,0.00
3.38,1,0.51,Economic,0,0.00
3.43,1,1.02,Economic,0,0.00
3.49,1,-8.43,Defensive,0,1.00
3.54,1,-7.92,Defensive,0,1.00
3.60,1,-7.42,Defensive,0,1.00
3.67,1,-16.87,Defensive,0,2.00
3.73,1,-16.36,Defensive,0,2.00
3.78,1,-15.86,Defensive,0,2.00
3.84,1,-25.34,Defensive,0,3.00
3.90,1,-24.83,Defensive,0,3.00
3.95,1,-24.29,Defensive,0,3.00
4.00,1,-33.77,Defensive,0,4.00
4.06,1,-33.26,Defensive,0,4.00
4.12,1,-32.75,Defensive,0,4.00
4.18,1,-42.23,Defensive,0,5.00
4.23,1,-41.68,Defensive,0,5.00
4.27,1,-41.16,Defensive,0,5.00
4.32,1,-40.65,Defensive,0,5.00
4.37,1,-55.00,Defensive,0,5.50
4.42,1,-60.00,Defensive,0,6.00
4.46,1,-70.00,Defensive,0,7.00
4.51,1,-90.00,Defensive,0,9.00
4.56,1,-105.00,Defensive,0,10.50
4.61,1,-105.00,Defensive,0,10.50
4.65,1,-135.00,Defensive,0,13.50
4.70,1,-150.00,Defensive,0,15.00
4.75,1,-151.00,Defensive,0,15.00
4.79,1,-152.00,Defensive,0,15.00
4.84,1,-154.00,Defensive,0,15.00
4.88,1,-156.00,Defensive,0,15.00
4.92,1,-160.00,Defensive,0,15.00
4.97,1,-166.00,Defensive,0,15.00
5.02,1,-71.00,Defensive,0,15.00
5.07,1,50.00,Economic,0,7.50
0.01,1,-1000.00,Defensive,0,0.00
0.01,1,-1000.00,Defensive,0,0.00
0.04,1,-1000.00,Defensive,0,0.00
0.10,1,-1000.00,Defensive,0,0.00
0.16,1,-1000.00,Defensive,0,0.00
0.23,1,-1000.00,Defensive,0,0.00
0.30,1,-1000.00,Defensive,0,0.00
0.36,1,-1000.00,Defensive,0,0.00
0.42,1,-1000.00,Defensive,0,0.00
0.48,1,-1000.00,Defensive,0,0.00
0.54,1,-1000.00,Defensive,0,0.00
0.60,1,-1000.00,Defensive,0,0.00
0.66,1,-1000.00,Defensive,0,0.00
0.72,1,-1000.00,Defensive,0,0.00
0.79,1,-1000.00,Defensive,0,0.00
0.85,1,-1000.00,Defensive,0,0.00
0.92,1,-1000.00,Defensive,0,0.00
0.99,1,-1000.00,Defensive,0,0.00
1.06,1,-1000.00,Defensive,0,0.00
1.12,1,-1000.00,Defensive,0,0.00
1.18,1,-1000.00,Defensive,0,0.00
1.24,1,-1000.00,Defensive,0,0.00
1.31,1,-1000.00,Defensive,0,0.00
1.38,1,-1000.00,Defensive,0,0.00
1.45,1,-1000.00,Defensive,0,0.00
1.52,1,0.00,Economic,0,0.00
1.58,1,0.00,Economic,0,0.00
1.65,1,0.00,Economic,0,0.00
1.71,1,0.00,Economic,0,0.00
1.78,1,0.00,Economic,0,0.00
1.83,1,0.00,Economic,0,0.00
1.87,1,0.00,Economic,0,0.00
1.94,1,0.00,Economic,0,0.00
2.01,1,0.00,Economic,0,0.00
2.08,1,0.00,Economic,0,0.00
2.14,1,0.00,Economic,0,0.00
2.21,1,0.00,Economic,0,0.00
2.28,1,0.00,Economic,0,0.00
2.35,1,0.00,Economic,0,0.00
2.41,1,0.00,Economic,0,0.00
2.47,1,0.00,Economic,0,0.00
2.54,1,0.00,Economic,0,0.00
2.61,1,0.00,Economic,0,0.00
2.68,1,0.00,Economic,0,0.00
2.74,1,0.00,Economic,0,0.00
2.81,1,0.00,Economic,0,0.00
2.88,1,0.00,Economic,0,0.00
2.95,1,0.00,Economic,0,0.00
3.02,1,0.00,Economic,0,0.00
3.07,1,0.00,Economic,0,0.00
3.12,1,0.00,Economic,0,0.00
3.18,1,0.00,Economic,0,0.00
3.25,1,0.00,Economic,0,0.00
3.32,1,0.00,Economic,0,0.00
3.38,1,0.00,Economic,0,0.00
3.45,1,0.00,Economic,0,0.00
3.52,1,0.00,Economic,0,0.00
3.58,1,0.38,Economic,0,0.00
3.65,1,0.90,Economic,0,0.00
3.70,1,1.44,Economic,0,0.00
3.75,1,1.94,Economic,0,0.00
3.82,1,2.46,Economic,0,0.00
3.89,1,2.97,Economic,0,0.00
3.96,1,3.53,Economic,0,0.00
4.02,1,-5.94,Defensive,0,1.00
4.08,1,-5.44,Defensive,0,1.00
4.14,1,-4.93,Defensive,0,1.00
4.21,1,-14.41,Defensive,0,2.00
4.25,1,-13.90,Defensive,0,2.00
4.31,1,-13.38,Defensive,0,2.00
4.38,1,-12.86,Defensive,0,2.00
4.44,1,-22.36,Defensive,0,3.00
4.50,1,-21.83,Defensive,0,3.00
4.57,1,-21.30,Defensive,0,3.00
4.63,1,-30.79,Defensive,0,4.00
4.69,1,-30.27,Defensive,0,4.00
4.76,1,-29.74,Defensive,0,4.00
4.82,1,-39.21,Defensive,0,5.00
4.87,1,-38.66,Defensive,0,5.00
4.91,1,-38.15,Defensive,0,5.00
4.95,1,-37.64,Defensive,0,5.00
5.01,1,-55.00,Defensive,0,5.50
5.06,1,-60.00,Defensive,0,6.00
5.10,1,-70.00,Defensive,0,7.00
5.15,1,-90.00,Defensive,0,9.00
5.21,1,-105.00,Defensive,0,10.50
5.26,1,-135.00,Defensive,0,13.50
5.30,1,-150.00,Defensive,0,15.00
5.35,1,-150.00,Defensive,0,15.00
5.40,1,-151.00,Defensive,0,15.00
5.46,1,-152.00,Defensive,0,15.00
5.51,1,-154.00,Defensive,0,15.00
5.55,1,-159.00,Defensive,0,15.00
5.61,1,-164.00,Defensive,0,15.00
5.66,1,-169.00,Defensive,0,15.00
5.72,1,-174.00,Defensive,0,15.00
0.01,1,-1000.00,Defensive,0,0.00
0.01,1,-1000.00,Defensive,0,0.00
0.05,1,-1000.00,Defensive,0,0.00
0.12,1,-1000.00,Defensive,0,0.00
0.19,1,-1000.00,Defensive,0,0.00
0.26,1,-1000.00,Defensive,0,0.00
0.32,1,-1000.00,Defensive,0,0.00
0.36,1,-1000.00,Defensive,0,0.00
0.42,1,-1000.00,Defensive,0,0.00
0.48,1,-1000.00,Defensive,0,0.00
0.54,1,-1000.00,Defensive,0,0.00
0.60,1,-1000.00,Defensive,0,0.00
0.67,1,-850.00,Defensive,0,0.00
0.74,1,-850.00,Defensive,0,0.00
0.80,1,-850.00,Defensive,0,0.00
0.87,1,-850.00,Defensive,0,0.00
0.92,1,-850.00,Defensive,0,0.00
0.98,1,-850.00,Defensive,0,0.00
1.04,1,-850.00,Defensive,0,0.00
1.11,1,-850.00,Defensive,0,0.00
1.17,1,-850.00,Defensive,0,0.00
1.22,1,150.00,Aggressive,0,0.00
1.29,1,150.00,Aggressive,0,0.00
1.35,1,200.00,Aggressive,0,0.00
1.42,1,300.00,Aggressive,0,0.00
1.46,1,350.00,Aggressive,0,0.00
1.51,1,350.00,Aggressive,0,0.00
1.57,1,350.00,Aggressive,0,0.00
1.63,1,350.00,Aggressive,0,0.00
1.70,1,350.00,Aggressive,0,0.00
1.76,1,350.00,Aggressive,0,0.00
1.83,1,350.00,Aggressive,0,0.00
1.90,1,350.00,Aggressive,0,0.00
1.96,1,350.00,Aggressive,0,0.00
2.02,1,350.00,Aggressive,0,0.00
2.07,1,350.00,Aggressive,0,0.00
2.12,1,350.00,Aggressive,0,0.00
2.15,1,350.00,Aggressive,0,0.00
2.19,1,350.00,Aggressive,0,0.00
2.21,1,350.00,Aggressive,0,0.00
2.26,1,350.00,Aggressive,0,0.00
2.32,1,350.00,Aggressive,0,0.00
2.38,1,350.00,Aggressive,0,0.00
2.44,1,350.00,Aggressive,0,0.00
2.51,1,350.00,Aggressive,0,0.00
2.55,1,350.00,Aggressive,0,0.00
2.61,1,350.00,Aggressive,0,0.00
2.67,1,350.00,Aggressive,0,0.00
2.73,1,350.00,Aggressive,0,0.00
2.79,1,350.00,Aggressive,0,0.00
2.84,1,350.00,Aggressive,0,0.00
2.90,1,350.00,Aggressive,0,0.00
2.97,1,350.00,Aggressive,0,0.00
3.04,1,350.00,Aggressive,0,0.00
3.08,1,350.00,Aggressive,0,0.00
3.14,1,350.00,Aggressive,0,0.00
3.20,1,350.18,Aggressive,0,0.00
3.27,1,350.72,Aggressive,0,0.00
3.33,1,341.24,Aggressive,0,1.00
3.39,1,341.76,Aggressive,0,1.00
3.45,1,342.27,Aggressive,0,1.00
3.51,1,332.80,Aggressive,0,2.00
3.57,1,333.35,Aggressive,0,2.00
3.63,1,333.89,Aggressive,0,2.00
3.67,1,324.43,Aggressive,0,3.00
3.72,1,324.96,Aggressive,0,3.00
3.79,1,325.49,Aggressive,0,3.00
3.85,1,316.02,Aggressive,0,4.00
3.91,1,316.55,Aggressive,0,4.00
3.97,1,317.05,Aggressive,0,4.00
4.03,1,307.57,Aggressive,0,5.00
4.08,1,308.11,Aggressive,0,5.00
4.13,1,308.66,Aggressive,0,5.00
4.18,1,309.22,Aggressive,0,5.00
4.21,1,295.00,Aggressive,0,5.50
4.26,1,280.00,Aggressive,0,7.00
4.31,1,275.00,Aggressive,0,7.50
4.35,1,275.00,Aggressive,0,7.50
4.41,1,245.00,Aggressive,0,10.50
4.46,1,200.00,Aggressive,0,15.00
4.51,1,200.00,Aggressive,0,15.00
4.55,1,200.00,Aggressive,0,15.00
4.59,1,200.00,Aggressive,0,15.00
4.63,1,230.00,Aggressive,0,12.00
4.67,1,228.00,Aggressive,0,12.00
4.72,1,225.00,Aggressive,0,12.00
4.77,1,252.00,Aggressive,0,9.00
4.82,1,280.00,Aggressive,0,6.00
4.88,1,309.00,Aggressive,0,3.00
4.93,1,339.00,Aggressive,0,0.00
4.98,1,339.00,Aggressive,0,0.00
5.03,1,339.00,Aggressive,0,0.00
5.06,1,339.00,Aggressive,0,0.00
5.09,1,339.00,Aggressive,0,0.00
5.14,1,339.00,Aggressive,0,0.00
5.20,1,339.00,Aggressive,0,0.00
5.26,1,339.00,Aggressive,0,0.00
5.30,1,339.00,Aggressive,0,0.00
5.36,1,339.00,Aggressive,0,0.00
5.42,1,339.00,Aggressive,0,0.00
5.48,1,339.00,Aggressive,0,0.00
5.53,1,339.00,Aggressive,0,0.00
5.58,1,339.00,Aggressive,0,0.00
5.63,1,339.00,Aggressive,0,0.00
5.69,1,339.00,Aggressive,0,0.00
5.75,1,339.00,Aggressive,0,0.00
5.80,1,339.00,Aggressive,0,0.00
5.85,1,339.00,Aggressive,0,0.00
5.91,1,339.00,Aggressive,0,0.00
5.96,1,329.00,Aggressive,0,1.00
6.02,1,329.00,Aggressive,0,1.00
6.07,1,329.00,Aggressive,0,1.00
6.12,1,329.00,Aggressive,0,1.00
6.18,1,329.00,Aggressive,0,1.00
6.23,1,329.00,Aggressive,0,1.00
6.29,1,329.00,Aggressive,0,1.00
6.34,1,329.00,Aggressive,0,1.00
6.40,1,329.00,Aggressive,0,1.00
6.46,1,329.00,Aggressive,0,1.00
6.51,1,319.00,Aggressive,0,2.00
6.57,1,319.00,Aggressive,0,2.00
6.61,1,319.00,Aggressive,0,2.00
6.66,1,319.00,Aggressive,0,2.00
6.72,1,319.00,Aggressive,0,2.00
6.78,1,319.00,Aggressive,0,2.00
6.84,1,319.00,Aggressive,0,2.00
6.89,1,319.00,Aggressive,0,2.00
6.95,1,319.00,Aggressive,0,2.00
7.01,1,309.00,Aggressive,0,3.00
7.07,1,309.00,Aggressive,0,3.00
7.12,1,309.00,Aggressive,0,3.00
7.17,1,309.00,Aggressive,0,3.00
7.22,1,309.00,Aggressive,0,3.00
7.27,1,309.00,Aggressive,0,3.00
7.31,1,309.00,Aggressive,0,3.00
7.36,1,299.00,Aggressive,0,4.00
7.41,1,299.00,Aggressive,0,4.00
7.46,1,299.00,Aggressive,0,4.00
7.51,1,289.00,Aggressive,0,5.00
7.56,1,289.00,Aggressive,0,5.00
7.60,1,289.00,Aggressive,0,5.00
7.62,1,279.00,Aggressive,0,6.00
7.66,1,274.00,Aggressive,0,6.50
7.70,1,264.00,Aggressive,0,7.50
